categoria,n_total,n_meses_cobertos,prevalencia_primeiro_mes,prevalencia_ultimo_mes,mk_tau,mk_p,mk_efeito,zp_estatistica,zp_p,zp_efeito,qui_estatistica,qui_p,qui_efeito
tec,2260,33,0.021664935450363555,0.005324543610547667,-0.7575757575757577,1.3728269320483262e-12,"{""n"": 33, ""primeiro"": 0.021664935450363555, ""ultimo"": 0.005324543610547667, ""delta"": -0.016340391839815886}",18.633645196382183,0.0,"{""p1"": 0.020884318200566448, ""p2"": 0.005558806319485079, ""diferenca"": 0.015325511881081368, ""risco_relativo"": 3.7569789268176903, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",543.4777897484304,9.667127301634076e-119,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.020884318200566448, 0.00916210778363458, 0.005558806319485079], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
tv,2142,33,0.0031161893456002373,0.006592292089249493,-0.041666666666666664,0.7468360016830153,"{""n"": 33, ""primeiro"": 0.0031161893456002373, ""ultimo"": 0.006592292089249493, ""delta"": 0.0034761027436492555}",6.633934110121774,3.2685631978779384e-11,"{""p1"": 0.010421536007919268, ""p2"": 0.0062902282036278526, ""diferenca"": 0.0041313078042914154, ""risco_relativo"": 1.6567818639566538, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",356.29842679464065,4.2734602249739814e-78,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.010421536007919268, 0.019438301268727448, 0.0062902282036278526], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
educacao,2118,33,0.012316367413562844,0.007099391480730223,-0.34090909090909094,0.004925304940506378,"{""n"": 33, ""primeiro"": 0.012316367413562844, ""ultimo"": 0.007099391480730223, ""delta"": -0.005216975932832621}",8.535080569734623,0.0,"{""p1"": 0.014614898121923722, ""p2"": 0.00836746635459333, ""diferenca"": 0.006247431767330393, ""risco_relativo"": 1.7466336286970379, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",72.58989041624719,1.7270526408271238e-16,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.014614898121923722, 0.012787043349573488, 0.00836746635459333], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
turismo,1903,33,0.011871197507048523,0.014198782961460446,-0.13636363636363638,0.2736433388865907,"{""n"": 33, ""primeiro"": 0.011871197507048523, ""ultimo"": 0.014198782961460446, ""delta"": 0.002327585454411923}",2.447310570169274,0.014392675996356408,"{""p1"": 0.011975142299337311, ""p2"": 0.01026916325336454, ""diferenca"": 0.0017059790459727706, ""risco_relativo"": 1.1661263925679468, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",6.047543425168493,0.048617500875163144,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.011975142299337311, 0.011323766607359616, 0.01026916325336454], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
ilustrissima,1411,33,0.009645347974476925,0.012170385395537525,0.2537878787878788,0.03862054169150255,"{""n"": 33, ""primeiro"": 0.009645347974476925, ""ultimo"": 0.012170385395537525, ""delta"": 0.0025250374210606004}",-3.7391835619822564,0.0001846188838880991,"{""p1"": 0.008221739489097258, ""p2"": 0.010532475131655939, ""diferenca"": -0.002310735642558681, ""risco_relativo"": 0.7806084881592896, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",24.195105100916134,5.573136534146976e-06,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.008221739489097258, 0.007532549593441859, 0.010532475131655939], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
ciencia,1335,33,0.007716278379581541,0.008113590263691683,0.2840909090909091,0.02011051554673871,"{""n"": 33, ""primeiro"": 0.007716278379581541, ""ultimo"": 0.008113590263691683, ""delta"": 0.00039731188411014275}",-3.8293403105278694,0.00012848722629765774,"{""p1"": 0.007273077240355267, ""p2"": 0.009508484493856056, ""diferenca"": -0.002235407253500789, ""risco_relativo"": 0.7649039386933632, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",14.657552567589596,0.0006563763142028581,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.007273077240355267, 0.007998137647782637, 0.009508484493856056], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
equilibrioesaude,1312,33,0.0038581391897907704,0.008874239350912779,0.5984848484848485,1.6778137074886257e-07,"{""n"": 33, ""primeiro"": 0.0038581391897907704, ""ultimo"": 0.008874239350912779, ""delta"": 0.005016100161122009}",-10.858651327421303,0.0,"{""p1"": 0.005293260373415459, ""p2"": 0.011322410766530134, ""diferenca"": -0.006029150393114675, ""risco_relativo"": 0.46750294460811476, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",123.74901953151944,1.3435128922960619e-27,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.005293260373415459, 0.008979198190857846, 0.011322410766530134], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
sobretudo,1057,21,0.0,0.021551724137931036,0.7693884236872824,1.5015737829046932e-09,"{""n"": 33, ""primeiro"": 0.0, ""ultimo"": 0.021551724137931036, ""delta"": 0.021551724137931036}",-34.20504798021855,0.0,"{""p1"": 0.0, ""p2"": 0.016003510825043886, ""diferenca"": -0.016003510825043886, ""risco_relativo"": 0.0, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",1016.4795035550628,1.8805302297024945e-221,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.0, 0.008480353846921298, 0.016003510825043886], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
bbc,980,23,0.012613147351239057,0.0,-0.6158427915761108,9.944371550877428e-07,"{""n"": 33, ""primeiro"": 0.012613147351239057, ""ultimo"": 0.0, ""delta"": -0.012613147351239057}",20.931295276197297,0.0,"{""p1"": 0.013061291830505679, ""p2"": 0.0001462843768285547, ""diferenca"": 0.012915007453677125, ""risco_relativo"": 89.28699095333683, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",1143.7401335254833,4.365013983230602e-249,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.013061291830505679, 0.0004157036199471225, 0.0001462843768285547], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
folhinha,876,25,0.010387297818667459,0.0,-0.8407788596944448,1.5123875307296305e-11,"{""n"": 33, ""primeiro"": 0.010387297818667459, ""ultimo"": 0.0, ""delta"": -0.010387297818667459}",18.233286523224535,0.0,"{""p1"": 0.00973409959578739, ""p2"": 2.9256875365710943e-05, ""diferenca"": 0.009704842720421679, ""risco_relativo"": 332.71152418401294, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",529.4713251502575,1.0635614332867165e-115,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.00973409959578739, 0.002776900181246778, 2.9256875365710943e-05], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
empreendedorsocial,841,33,0.0005935598753524262,0.008620689655172414,0.5681818181818182,8.619142358466343e-07,"{""n"": 33, ""primeiro"": 0.0005935598753524262, ""ultimo"": 0.008620689655172414, ""delta"": 0.008027129779819987}",-8.674249973169513,0.0,"{""p1"": 0.003533423158357852, ""p2"": 0.00746050321825629, ""diferenca"": -0.003927080059898438, ""risco_relativo"": 0.4736172688340054, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",75.16355865523583,4.7691460002328274e-17,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.003533423158357852, 0.0054706596385041325, 0.00746050321825629], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
comida,828,28,0.012316367413562844,0.0,-0.8260415742229216,1.9864168519357295e-11,"{""n"": 33, ""primeiro"": 0.012316367413562844, ""ultimo"": 0.0, ""delta"": -0.012316367413562844}",17.60321123187642,0.0,"{""p1"": 0.009294140292022988, ""p2"": 0.00011702750146284377, ""diferenca"": 0.009177112790560145, ""risco_relativo"": 79.41842879533644, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",515.7274658467243,1.0261331272343076e-112,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.009294140292022988, 0.002460965430086965, 0.00011702750146284377], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
asmais,548,30,0.0038581391897907704,0.0005070993914807302,-0.7350457181646648,1.98562414037021e-09,"{""n"": 33, ""primeiro"": 0.0038581391897907704, ""ultimo"": 0.0005070993914807302, ""delta"": -0.00335103979831004}",13.584148025719157,0.0,"{""p1"": 0.0062006764374295375, ""p2"": 0.0003510825043885313, ""diferenca"": 0.005849593933041007, ""risco_relativo"": 17.661593385945135, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",343.5243883355815,2.5387905513974138e-75,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.0062006764374295375, 0.0014133923078202164, 0.0003510825043885313], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
ambiente,491,33,0.001335509719542959,0.005324543610547667,0.5984848484848485,1.6778137074886257e-07,"{""n"": 33, ""primeiro"": 0.001335509719542959, ""ultimo"": 0.005324543610547667, ""delta"": 0.003989033891004709}",-12.858316919761897,0.0,"{""p1"": 0.0014711139219622184, ""p2"": 0.006026916325336454, ""diferenca"": -0.004555802403374236, ""risco_relativo"": 0.24409064977023603, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",164.69932210731974,1.721855165434286e-36,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.0014711139219622184, 0.0029598097740235123, 0.006026916325336454], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
seminariosfolha,379,26,0.0,0.014452332657200811,0.3730236506635153,0.0026430538477218123,"{""n"": 33, ""primeiro"": 0.0, ""ultimo"": 0.014452332657200811, ""delta"": 0.014452332657200811}",-13.737980327011392,0.0,"{""p1"": 0.0010998982594110044, ""p2"": 0.005646576945582212, ""diferenca"": -0.004546678686171208, ""risco_relativo"": 0.19479027205527527, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",222.99149654095845,3.7845284158808336e-49,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.0010998982594110044, 0.0017625833485757994, 0.005646576945582212], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
