data,total,positivos,prevalencia
2015-07-22,192,24,0.125
2015-07-23,201,27,0.13432835820895522
2015-07-24,170,24,0.1411764705882353
2015-07-25,154,14,0.09090909090909091
2015-07-26,177,11,0.062146892655367235
2015-07-27,198,34,0.1717171717171717
2015-07-28,167,22,0.1317365269461078
2015-07-29,178,27,0.15168539325842698
2015-07-30,210,31,0.14761904761904762
2015-07-31,191,19,0.09947643979057591
2015-08-01,240,27,0.1125
2015-08-02,211,16,0.07582938388625593
2015-08-03,216,14,0.06481481481481481
2015-08-04,218,32,0.14678899082568808
2015-08-05,169,12,0.07100591715976332
2015-08-06,176,23,0.13068181818181818
2015-08-07,181,38,0.20994475138121546
2015-08-08,152,9,0.05921052631578947
2015-08-09,188,28,0.14893617021276595
2015-08-10,193,19,0.09844559585492228
2015-08-11,175,9,0.05142857142857143
2015-08-12,205,25,0.12195121951219512
2015-08-13,211,22,0.10426540284360189
2015-08-14,183,27,0.14754098360655737
2015-08-15,149,9,0.06040268456375839
2015-08-16,209,6,0.028708133971291867
2015-08-17,188,33,0.17553191489361702
2015-08-18,199,34,0.1708542713567839
2015-08-19,209,26,0.12440191387559808
2015-08-20,226,30,0.13274336283185842
2015-08-21,190,22,0.11578947368421053
2015-08-22,193,11,0.05699481865284974
2015-08-23,186,19,0.10215053763440861
2015-08-24,219,34,0.1552511415525114
2015-08-25,203,30,0.1477832512315271
2015-08-26,198,25,0.12626262626262627
2015-08-27,235,32,0.13617021276595745
2015-08-28,199,33,0.1658291457286432
2015-08-29,173,9,0.05202312138728324
2015-08-30,224,9,0.04017857142857143
2015-08-31,213,39,0.18309859154929578
2015-09-01,233,31,0.13304721030042918
2015-09-02,235,38,0.16170212765957448
2015-09-03,251,26,0.10358565737051793
2015-09-04,208,27,0.12980769230769232
2015-09-05,168,16,0.09523809523809523
2015-09-06,185,21,0.11351351351351352
2015-09-07,213,30,0.14084507042253522
2015-09-08,183,11,0.060109289617486336
2015-09-09,207,27,0.13043478260869565
2015-09-10,173,25,0.14450867052023122
2015-09-11,212,48,0.22641509433962265
2015-09-12,219,27,0.1232876712328767
2015-09-13,189,13,0.06878306878306878
2015-09-14,190,33,0.1736842105263158
2015-09-15,201,23,0.11442786069651742
2015-09-16,192,28,0.14583333333333334
2015-09-17,222,19,0.08558558558558559
2015-09-18,173,21,0.12138728323699421
2015-09-19,160,9,0.05625
2015-09-20,194,21,0.10824742268041238
2015-09-21,191,30,0.15706806282722513
2015-09-22,197,31,0.15736040609137056
2015-09-23,217,27,0.12442396313364056
2015-09-24,247,49,0.19838056680161945
2015-09-25,181,19,0.10497237569060773
2015-09-26,162,10,0.06172839506172839
2015-09-27,226,13,0.05752212389380531
2015-09-28,204,29,0.14215686274509803
2015-09-29,205,35,0.17073170731707318
2015-09-30,198,20,0.10101010101010101
2015-10-01,154,7,0.045454545454545456
2015-10-02,263,29,0.11026615969581749
2015-10-03,252,32,0.12698412698412698
2015-10-04,208,16,0.07692307692307693
2015-10-05,199,10,0.05025125628140704
2015-10-06,194,24,0.12371134020618557
