data,total,positivos,prevalencia
2016-10-31,1179,157,0.13316369804919423
2016-11-07,1165,137,0.11759656652360514
2016-11-14,935,127,0.1358288770053476
2016-11-21,1073,172,0.1602982292637465
2016-11-28,1159,183,0.15789473684210525
2016-12-05,1126,118,0.10479573712255773
2016-12-12,1046,184,0.17590822179732313
2016-12-19,789,150,0.19011406844106463
2016-12-26,722,105,0.14542936288088643
2017-01-02,867,113,0.1303344867358708
2017-01-09,642,71,0.11059190031152648
2017-01-16,986,147,0.14908722109533468
2017-01-23,875,95,0.10857142857142857
2017-01-30,934,130,0.139186295503212
2017-02-06,632,66,0.10443037974683544
2017-02-13,939,125,0.13312034078807242
2017-02-20,911,124,0.13611416026344675
2017-02-27,827,109,0.13180169286577992
2017-03-06,678,81,0.11946902654867257
2017-03-13,965,144,0.14922279792746113
2017-03-20,902,170,0.188470066518847
2017-03-27,925,152,0.1643243243243243
2017-04-03,903,117,0.12956810631229235
2017-04-10,586,76,0.1296928327645051
2017-04-17,874,138,0.15789473684210525
2017-04-24,1018,184,0.1807465618860511
2017-05-01,948,113,0.11919831223628692
2017-05-08,658,71,0.10790273556231003
2017-05-15,1052,135,0.12832699619771862
2017-05-22,1039,132,0.12704523580365737
2017-05-29,971,157,0.16168898043254376
2017-06-05,782,90,0.11508951406649616
2017-06-12,728,82,0.11263736263736264
2017-06-19,1013,122,0.12043435340572557
2017-06-26,889,135,0.15185601799775028
2017-07-03,964,128,0.13278008298755187
2017-07-10,582,59,0.1013745704467354
2017-07-17,878,127,0.14464692482915717
2017-07-24,983,131,0.13326551373346898
2017-07-31,951,125,0.13144058885383805
2017-08-07,614,62,0.10097719869706841
2017-08-14,933,128,0.13719185423365488
2017-08-21,986,118,0.11967545638945233
2017-08-28,1001,158,0.15784215784215785
2017-09-04,872,106,0.12155963302752294
2017-09-11,753,101,0.1341301460823373
2017-09-18,1022,111,0.1086105675146771
2017-09-25,979,147,0.1501532175689479
